col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
0,0,0,0,0,0,0,0,0,0,19.2
2,2,4,5,1,2,0,0,0,0,15.47
4,4,4,5,1,2,0,0,0,0,18.42
8,4,4,5,1,2,0,0,0,0,16.41
8,5,6,6,1,2,0,0,0,0,12.62
8,5,6,6,3,4,0,0,0,0,9.95
8,5,6,6,6,5,0,0,0,0,14.91
8,5,6,6,6,5,2,1,1,0,24.88
8,5,6,6,6,5,3,3,2,0,27.82
8,5,6,6,6,5,3,4,5,0,24.53
8,5,6,6,6,5,5,6,5,0,38.89
4,1,2,2,2,1,1,2,1,0,30.78
4,1,2,2,2,2,3,3,1,0,25.64
4,3,3,3,2,2,3,3,1,0,27.91
4,3,3,3,2,2,3,3,5,0,32.34
4,3,3,3,2,4,4,4,5,0,31.53
4,3,4,4,4,4,4,4,5,0,34
4,5,6,4,4,4,4,4,5,0,37.63
4,5,6,4,4,4,5,6,6,0,34.63
6,7,6,4,4,4,5,6,6,0,34.82
6,7,6,5,5,6,5,6,6,0,36.97
6,7,6,6,8,6,5,6,6,0,34.37
6,7,6,6,8,6,7,7,7,0,29.18
2,3,2,2,4,2,3,3,3,0,23.22
2,3,3,5,4,2,3,3,3,0,24.89
2,3,3,5,4,2,3,5,5,0,20.54
4,4,4,5,4,2,3,5,5,0,27.4
4,4,4,5,4,5,4,5,5,0,34.97
6,6,4,5,4,5,4,5,5,0,30.18
6,6,4,6,6,6,4,5,5,0,25.33
6,6,7,7,6,6,4,5,5,0,36.42
6,6,7,7,6,6,6,6,6,0,40.09
6,6,7,7,7,8,7,6,6,0,37.99
6,6,7,7,7,8,7,7,9,0,32.59
6,6,7,7,7,9,9,8,9,0,32.82
2,2,3,3,3,5,5,4,5,0,29.12
2,2,3,4,6,5,5,4,5,0,27.5
6,2,3,4,6,5,5,4,5,0,20.14
6,5,4,4,6,5,5,4,5,0,39.04
6,6,6,5,6,5,5,4,5,0,38.88
8,8,6,5,6,5,5,4,5,0,37.71
11,9,6,5,6,5,5,4,5,0,32.87
11,9,8,7,6,5,5,4,5,0,35.28
11,9,8,7,6,5,6,6,6,0,36.45
11,9,8,7,6,7,7,7,6,0,34.39
7,5,4,3,2,3,3,3,2,0,25
7,5,4,3,4,5,3,3,2,0,22.99
7,5,4,3,4,5,4,4,4,0,30.95
7,5,5,5,5,5,4,4,4,0,38.07
3,1,1,1,1,1,0,0,0,0,30.33
3,1,1,1,1,2,2,1,0,0,30.39
3,1,1,1,1,2,2,2,3,0,33.26
4,4,1,1,1,2,2,2,3,0,32.75
4,4,1,1,1,2,2,4,5,0,27.92
4,4,3,2,2,2,2,4,5,0,31.91
4,4,4,4,3,2,2,4,5,0,30.88
5,6,5,4,3,2,2,4,5,0,21.77
5,6,5,4,4,4,3,4,5,0,22.33
5,6,5,4,4,5,5,5,5,0,38.4
5,6,5,5,6,6,5,5,5,0,38.56
5,6,5,5,6,6,7,6,6,0,36.86
5,6,7,7,6,6,7,6,6,0,36.44
7,8,7,7,6,6,7,6,6,0,37.67
3,4,3,3,2,2,3,2,2,0,30.56
6,5,3,3,2,2,3,2,2,0,30.83
6,5,3,3,4,4,3,2,2,0,32.18
6,5,4,5,5,4,3,2,2,0,32.4
6,5,4,5,5,4,3,4,4,0,30.44
6,5,4,5,5,4,5,5,5,0,38.91
2,1,0,1,1,0,1,1,1,0,31.81
2,1,0,1,1,0,3,2,2,0,26.67
2,1,2,2,2,0,3,2,2,0,21.85
2,1,2,4,4,0,3,2,2,0,-11.78
