col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
0,0,0,0,0,0,0,0,0,0,19.2
2,2,4,5,1,2,0,0,0,0,15.49
4,4,4,5,1,2,0,0,0,0,18.58
8,4,4,5,1,2,0,0,0,0,16.85
8,5,6,6,1,2,0,0,0,0,13.13
8,5,6,6,3,4,0,0,0,0,10.52
8,5,6,6,6,5,0,0,0,0,15.54
8,5,6,6,6,5,2,1,1,0,25.52
8,5,6,6,6,5,3,3,2,0,28.46
8,5,6,6,6,5,3,4,5,0,24.98
8,5,6,6,6,5,5,6,5,0,39.5
4,1,2,2,2,1,1,2,1,0,30.93
4,1,2,2,2,2,3,3,1,0,25.8
4,3,3,3,2,2,3,3,1,0,28.07
4,3,3,3,2,2,3,3,5,0,31.84
4,3,3,3,2,4,4,4,5,0,31.16
4,3,4,4,4,4,4,4,5,0,33.73
4,5,6,4,4,4,4,4,5,0,37.4
4,5,6,4,4,4,5,6,6,0,33.82
6,7,6,4,4,4,5,6,6,0,34.66
6,7,6,5,5,6,5,6,6,0,37.01
6,7,6,6,8,6,5,6,6,0,34.45
6,7,6,6,8,6,7,7,7,0,28.82
2,3,2,2,4,2,3,3,3,0,23.17
2,3,3,5,4,2,3,3,3,0,24.79
2,3,3,5,4,2,3,5,5,0,19.71
4,4,4,5,4,2,3,5,5,0,27.03
4,4,4,5,4,5,4,5,5,0,34.8
6,6,4,5,4,5,4,5,5,0,30.39
6,6,4,6,6,6,4,5,5,0,25.5
6,6,7,7,6,6,4,5,5,0,36.58
6,6,7,7,6,6,6,6,6,0,40.21
6,6,7,7,7,8,7,6,6,0,37.99
6,6,7,7,7,8,7,7,9,0,28.74
6,6,7,7,7,9,9,8,9,0,29.79
2,2,3,3,3,5,5,4,5,0,28.45
2,2,3,4,6,5,5,4,5,0,26.68
6,2,3,4,6,5,5,4,5,0,20.01
6,5,4,4,6,5,5,4,5,0,39.2
6,6,6,5,6,5,5,4,5,0,39.12
8,8,6,5,6,5,5,4,5,0,38.31
11,9,6,5,6,5,5,4,5,0,34.01
11,9,8,7,6,5,5,4,5,0,36.45
11,9,8,7,6,5,6,6,6,0,37.6
11,9,8,7,6,7,7,7,6,0,35.6
7,5,4,3,2,3,3,3,2,0,25.46
7,5,4,3,4,5,3,3,2,0,23.48
7,5,4,3,4,5,4,4,4,0,31.41
7,5,5,5,5,5,4,4,4,0,38.56
3,1,1,1,1,1,0,0,0,0,30.43
3,1,1,1,1,2,2,1,0,0,30.47
3,1,1,1,1,2,2,2,3,0,33.26
4,4,1,1,1,2,2,2,3,0,32.82
4,4,1,1,1,2,2,4,5,0,27.26
4,4,3,2,2,2,2,4,5,0,31.42
4,4,4,4,3,2,2,4,5,0,30.4
5,6,5,4,3,2,2,4,5,0,21.52
5,6,5,4,4,4,3,4,5,0,22.31
5,6,5,4,4,5,5,5,5,0,38.49
5,6,5,5,6,6,5,5,5,0,38.64
5,6,5,5,6,6,7,6,6,0,36.66
5,6,7,7,6,6,7,6,6,0,36.24
7,8,7,7,6,6,7,6,6,0,37.99
3,4,3,3,2,2,3,2,2,0,30.63
6,5,3,3,2,2,3,2,2,0,31.17
6,5,3,3,4,4,3,2,2,0,32.54
6,5,4,5,5,4,3,2,2,0,32.76
6,5,4,5,5,4,3,4,4,0,30.77
6,5,4,5,5,4,5,5,5,0,39.15
2,1,0,1,1,0,1,1,1,0,31.86
2,1,0,1,1,0,3,2,2,0,26.68
2,1,2,2,2,0,3,2,2,0,21.87
2,1,2,4,4,0,3,2,2,0,-11.84
2,1,2,4,4,4,3,2,2,0,30.1
4,3,2,4,4,4,3,2,2,0,29.32
8,3,2,4,4,4,3,2,2,0,27.52
8,3,2,4,4,4,3,4,4,0,27.64
8,3,2,4,4,4,5,5,5,0,27.57
12,3,2,4,4,4,5,5,5,0,20.84
12,3,2,5,5,6,5,5,5,0,18.64
12,5,4,5,5,6,5,5,5,0,36.78
12,5,6,7,5,6,5,5,5,0,29.36
12,5,6,7,5,8,7,5,5,0,16.86
12,7,8,7,5,8,7,5,5,0,21.65
12,7,8,7,5,10,9,5,5,0,10.87
12,7,8,7,5,10,9,7,7,0,15.56
12,9,10,7,5,10,9,7,7,0,8.96
12,9,10,7,5,12,11,7,7,0,-78.27
12,9,10,8,8,12,11,7,7,0,14.54
8,5,6,4,4,8,7,3,3,0,10.65
8,5,6,4,4,8,7,6,4,0,20.42
4,1,2,0,0,4,3,2,0,0,11.93
4,1,2,2,2,4,3,2,0,0,20.82
4,1,2,2,5,5,3,2,0,0,4.31
4,1,2,2,5,5,3,2,4,0,16.33
4,3,4,2,5,5,3,2,4,0,8.06
4,3,5,5,5,5,3,2,4,0,18.49
4,3,5,5,5,5,3,2,6,7,-17.1
4,3,5,5,7,7,3,2,6,7,-28.69
8,3,5,5,7,7,3,2,6,7,-38.94
8,3,5,5,7,7,4,5,6,7,-31.74
5,5,7,5,4,4,0,1,4,1,8.73
8,6,7,5,4,4,0,1,4,1,-0.51
7,5,6,4,3,3,2,1,3,0,26.83
7,7,8,4,3,3,2,1,3,0,24.2
10,8,8,4,3,3,2,1,3,0,20.74
10,8,8,4,3,3,4,3,3,0,25.77
10,8,8,4,3,3,4,5,5,0,26.5
11,11,8,4,3,3,4,5,5,0,22.81
11,11,8,4,3,6,5,5,5,0,21.47
11,11,8,5,6,6,5,5,5,0,36.65
7,7,4,1,2,2,1,1,1,0,25.88
7,7,4,3,4,2,1,1,1,0,27.11
7,7,4,3,4,2,2,2,3,0,29.5
7,7,4,3,4,4,4,2,3,0,26.03
7,7,5,5,5,4,4,2,3,0,30.67
7,7,7,6,6,4,4,2,3,0,29.45
7,7,7,6,6,4,5,5,3,0,24.97
7,7,7,6,6,7,6,5,3,0,24.95
9,8,8,6,6,7,6,5,3,0,24.12
9,8,8,7,8,8,6,5,3,0,21.32
9,8,8,7,8,8,6,6,6,0,41.23
5,4,4,3,4,4,2,2,2,0,32.71
5,4,4,3,4,4,4,4,2,0,28.9
5,4,4,3,4,4,6,6,2,0,21.27
5,4,5,5,5,4,6,6,2,0,18.66
5,6,7,5,5,4,6,6,2,0,14.72
5,6,7,6,6,6,6,6,2,0,18.68
4,5,6,5,5,5,5,5,4,0,35.83
4,5,6,6,6,7,5,5,4,0,30.91
0,1,2,2,2,3,1,1,0,0,24.76
0,1,2,2,2,3,4,2,0,0,18.57
2,3,2,2,2,3,4,2,0,0,21.69
5,4,2,2,2,3,4,2,0,0,24.64
5,4,2,2,4,5,4,2,0,0,13.62
5,4,2,2,6,7,4,2,0,0,4.38
9,4,2,2,6,7,4,2,0,0,-12.78
