param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-329.4950024714897,15.705408870632082
,1,5,-316.31433857804257,10.997032490301843
,1,10,-304.3024802431628,19.134977963515905
,2,2,-307.9280707195132,13.76635620798021
,2,5,-308.6571003545313,13.65026002754187
,2,10,-294.39712866949804,17.469920544104177
,4,2,-298.68140396072044,20.108206968215715
,4,5,-297.5868618438374,17.83333190756201
,4,10,-294.98800638673583,20.82038039056717
10,1,2,-308.0954839927587,14.070625513651951
10,1,5,-312.67695860409714,10.935731291539208
10,1,10,-302.30630468711627,17.2441070132572
10,2,2,-305.6940290024885,17.327247393354092
10,2,5,-303.35357557261653,11.402589683884345
10,2,10,-301.9016881682771,14.643416927253286
10,4,2,-305.0003774504696,19.73869051573915
10,4,5,-306.75200329084674,18.94566078187192
10,4,10,-304.7359510569902,21.679847739473182
20,1,2,-327.62651492805037,12.96853466590447
20,1,5,-314.8496812026842,12.959661414474827
20,1,10,-304.1267490839911,20.337940542137353
20,2,2,-306.37405988396375,12.5901608092084
20,2,5,-310.28995548140574,9.982727929495168
20,2,10,-295.57332095083046,15.437904795291223
20,4,2,-297.516124034719,21.011565577745834
20,4,5,-298.95881149923025,21.396894057889877
20,4,10,-294.1754913845057,19.301434590053237
30,1,2,-328.00865469075194,9.61326174137814
30,1,5,-316.73021140656584,8.330556333454092
30,1,10,-302.4037844816219,18.362728813235844
30,2,2,-308.8505972804797,14.611174294738671
30,2,5,-307.08933299947154,12.661191793899672
30,2,10,-298.3989335333428,15.975206797586091
30,4,2,-298.75487091488856,20.063331762842218
30,4,5,-297.9272690285733,20.385597266206524
30,4,10,-295.3110642559487,21.398097726050356
50,1,2,-328.3156530848279,12.14185858039351
50,1,5,-317.5246553670322,10.602857260359336
50,1,10,-302.69359846531074,20.34046274830694
50,2,2,-309.7478424004908,13.73072213116408
50,2,5,-304.69339991241327,6.352427128750676
50,2,10,-296.2773001046002,18.36938793713972
50,4,2,-298.0406764802063,18.714684799495497
50,4,5,-300.21503517238244,22.1587300531685
50,4,10,-292.3967378375156,19.35016701125351
