param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-472.3063190971263,162.15890607231708
,1,5,-421.5916519689096,143.1284797952067
,1,10,-449.0252767349201,77.84439089906104
,2,2,-473.35257353169516,126.55028191598022
,2,5,-420.9401213574929,116.93174689442797
,2,10,-439.6391842282443,71.3680441920014
,4,2,-428.4948917441928,68.88708751847146
,4,5,-428.60759404746176,67.73175915673082
,4,10,-428.9430894731228,60.696527585095716
10,1,2,-443.71507155362053,143.99274422277816
10,1,5,-483.2356922385634,161.52199129914814
10,1,10,-480.03431279358017,86.23904848696968
10,2,2,-534.346698764126,134.76419029333425
10,2,5,-525.0321047095583,136.02937822732875
10,2,10,-473.6640549300233,73.00293131491047
10,4,2,-458.10037039117805,72.88793661302013
10,4,5,-456.99416860396894,73.9581056055371
10,4,10,-463.54613328599817,65.1881096920199
20,1,2,-483.37570928305075,130.06588286314536
20,1,5,-485.6755552578146,127.82430026080712
20,1,10,-448.51315347481096,79.12071420845666
20,2,2,-457.8846420243632,146.1339429401585
20,2,5,-418.403819227239,116.87459013793709
20,2,10,-440.7046571732791,71.62443121737388
20,4,2,-427.4309420976348,67.5470657338655
20,4,5,-426.76633046616064,67.53104692238377
20,4,10,-429.76620469176453,60.22296496447723
30,1,2,-475.5526943063277,169.2167300008526
30,1,5,-425.95267111449914,145.04346146322243
30,1,10,-450.37282105085086,79.23688032507289
30,2,2,-515.4528754191241,129.7615802902198
30,2,5,-462.36621394238864,141.5054749250942
30,2,10,-439.19975102209946,71.85251073177434
30,4,2,-428.81927919636973,67.03399217432369
30,4,5,-428.9856460629896,67.56602057503518
30,4,10,-429.93402109473647,59.55428861475292
50,1,2,-440.72543856484697,142.34888938062855
50,1,5,-470.3764011378545,162.26508837021768
50,1,10,-447.10122520774166,77.78852101585775
50,2,2,-512.7002100292664,136.92540410156013
50,2,5,-463.59515238161964,130.86636658766847
50,2,10,-439.51094699540636,68.85763201284048
50,4,2,-426.5555048718279,67.9975152170304
50,4,5,-426.7313471289352,68.10322974096015
50,4,10,-430.4786835084002,59.64303522928642
