param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
,1,2,-346.9265088001247,46.18997870736722
,1,5,-335.0071355811166,49.105619468549115
,1,10,-327.8915968293368,77.8456136187842
,2,2,-352.15848800747517,66.30972856109324
,2,5,-348.2075272162381,60.96980680915336
,2,10,-333.3029826339496,72.27005605078598
,4,2,-326.1447910803272,67.69309361084264
,4,5,-326.2555659250091,67.30612738725951
,4,10,-324.6596793204859,64.19176652218054
10,1,2,-328.3112581474562,46.69138465299655
10,1,5,-337.6976014013032,68.43335022339146
10,1,10,-338.4899494486288,72.57033533035829
10,2,2,-341.71898711256205,56.50787416589056
10,2,5,-345.36041307681865,56.17930031257156
10,2,10,-347.98881784245947,66.61753987395544
10,4,2,-340.0429752287494,63.94808588479774
10,4,5,-340.2009042413628,62.42377948801965
10,4,10,-339.4076555341761,62.63166424708158
20,1,2,-362.7686353987288,80.7029420018602
20,1,5,-343.5053942125727,74.0581858402851
20,1,10,-321.8010140731302,53.48115494662057
20,2,2,-345.4989567225838,62.274195466951525
20,2,5,-343.2403741601302,68.26097327540579
20,2,10,-334.1469691366862,73.83528478558628
20,4,2,-326.9121897282704,67.52324679660842
20,4,5,-324.71380058712685,65.89249789784279
20,4,10,-322.316605338806,64.65707967045022
30,1,2,-362.2779608380033,74.80818472910171
30,1,5,-346.7994719091298,81.39390500966093
30,1,10,-327.8035344934271,79.0290671588536
30,2,2,-351.47804730030214,63.72594548744977
30,2,5,-347.3040202290723,63.6027780682344
30,2,10,-335.50505719977735,74.67844453468467
30,4,2,-328.2389981485692,66.09413541392318
30,4,5,-326.2446943515547,66.12668048692402
30,4,10,-323.1410132889333,64.01696240026124
50,1,2,-359.96154198716096,80.67764811124876
50,1,5,-334.0985111335898,50.51476305056248
50,1,10,-327.62662562645363,78.59573811255653
50,2,2,-350.50860811397644,70.07386446032142
50,2,5,-345.8265587561953,65.00426332363806
50,2,10,-337.26153063172234,70.60632995563556
50,4,2,-326.17938556580214,64.8507618163792
50,4,5,-326.7861939203161,65.8276646507896
50,4,10,-319.29481846007036,64.84774686356684
