param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score
-1,1,2,-362.4805927,58.19010912
-1,1,5,-352.0385093,57.5018479
-1,1,10,-357.5637381,77.33878943
-1,2,2,-346.507058,58.12413402
-1,2,5,-352.7064647,83.21935512
-1,2,10,-328.9060455,61.60262633
-1,4,2,-319.5877497,60.49293357
-1,4,5,-323.0631187,57.43107005
-1,4,10,-319.7642517,58.05367192
10,1,2,-342.942821,60.84884733
10,1,5,-347.6381187,58.63129391
10,1,10,-345.2562036,59.3944676
10,2,2,-345.2247761,60.99200192
10,2,5,-355.1448853,79.44387939
10,2,10,-338.8472633,61.02080726
10,4,2,-340.843917,84.25077302
10,4,5,-332.9945034,58.71540873
10,4,10,-340.7066011,84.42905432
20,1,2,-361.616745,60.1760448
20,1,5,-351.2010725,59.83674434
20,1,10,-339.6731543,59.14366427
20,2,2,-361.2146291,78.90778969
20,2,5,-350.906695,84.26625675
20,2,10,-341.133252,85.48491124
20,4,2,-318.955524,59.97575771
20,4,5,-332.4341244,81.02033161
20,4,10,-316.894292,59.89698908
30,1,2,-365.7189724,54.87538297
30,1,5,-361.8045314,81.41937411
30,1,10,-353.6441526,82.51270503
30,2,2,-344.6820534,60.59039205
30,2,5,-342.8611828,59.69933381
30,2,10,-333.9910036,61.00657986
30,4,2,-335.0079684,80.49177063
30,4,5,-321.754118,58.36691351
30,4,10,-330.7069737,81.7284861
50,1,2,-383.053124,85.93849905
50,1,5,-347.9098476,62.96525267
50,1,10,-349.622099,83.55342827
50,2,2,-354.9617259,82.94143954
50,2,5,-354.2189331,79.57340628
50,2,10,-347.2880409,80.59037914
50,4,2,-331.5313794,82.86808412
50,4,5,-319.362165,58.8988886
50,4,10,-330.1843138,81.50855665
