param_n_features,param_alpha,avg_test_score,std_test_score
30,0.03,0.7172604525812681,0.03008441289550389
30,0.05,0.716387699011664,0.030032364057917517
30,0.1,0.7132686322568712,0.030130493347205054
32,0.03,0.717753194883844,0.030039997332096894
32,0.05,0.7167033876503603,0.030032721789876274
32,0.1,0.7132661199970514,0.0301713330827139
35,0.03,0.7178049053213488,0.030030554949215877
35,0.05,0.7166698879338453,0.030032900460807362
35,0.1,0.7132886662141664,0.030180746142479023
37,0.03,0.7178616060434931,0.03010912830865316
37,0.05,0.7167026778150669,0.03011660616105862
37,0.1,0.7132836497358787,0.030180241227963017
40,0.03,0.7178525082665114,0.030117277083733043
40,0.05,0.7167031354707801,0.03011917017739919
40,0.1,0.7132246125621288,0.030183617740137152
